code,name_ar,name_en,active_ingredients,concentration,alternatives,category,region_availability,manufacturer,packaging,price,side_effects,warnings,description_ar
MED001,بانادول أدفانس,Panadol Advance,Paracetamol,500mg,"Fevadol, Adol, Paramol, Pyal",مسكنات وخافض للحرارة,مصر دول الخليج,GlaxoSmithKline,علبة 24 قرص,25.0,غثيان طفح جلدي في حالات نادرة,لا تتجاوز 4 جرام يوميا للمرضى الذين يعانون من مشاكل بالكبد,مسكن للألم وخافض فعال للحرارة
MED002,فيفادول,Fevadol,Paracetamol,500mg,"Panadol, Adol, Paramol",مسكنات وخافض للحرارة,السعودية دول الخليج,Spimaco,علبة 20 قرص,18.0,حساسية نادرة,لا يستخدم لأكثر من 10 أيام,يسكن أوجاع الرأس والأسنان ويخفض الحرارة
MED003,بروفين 400,Brufen 400,Ibuprofen,400mg,"Safen, Profinal, Nurofen, Marcofen",مضادات الالتهاب غير الستيرويدية,دولي ومصر والسعودية,Abbott,علبة 30 قرص,45.0,ألم بالمعدة وحرقة,تجنب تناوله على معدة فارغة أو لمرضى قرحة المعدة,مسكن للألم ومضاد للالتهاب مثل الروماتيزم
MED004,سابوفين,Sapofen,Ibuprofen,400mg,"Brufen, Profinal, Nurofen",مضادات الالتهاب غير الستيرويدية,السعودية دول الخليج,Spimaco,علبة 20 قرص,22.0,تهيج معدي وغثيان,يحذر للحوامل ومرضى الربو,خافض للحرارة لمعظم أنواع الآلام والالتهابات
MED005,كونجستال,Congestal,"Paracetamol, Pseudoephedrine, Chlorpheniramine","650mg, 60mg, 4mg","123, Flurest, Comtrex",أدوية البرد والإنفلونزا,مصر,Medical Union Pharmaceuticals,علبة 20 قرص,35.0,النعاس والدوار وجفاف الفم,لا يستخدم لمن يعاني من ضغط الدم المرتفع أو الجلوكوما,يعالج أعراض الأنفلونزا والزكام وتدميع العين
MED006,أوجمنتين 1 جم,Augmentin 1g,"Amoxicillin, Clavulanic Acid","875mg, 125mg","Megamox, Curam, Hibiotic, Klavox",مضاد حيوي واسع المجال,دولي,GlaxoSmithKline,علبة 14 قرص,95.0,إسهال أو اضطراب في الجهاز الهضمي وطفح جلدي,يجب استشارة الطبيب وإكمال الجرعة كاملاً,علاج التهابات الجهاز التنفسي والأذن والأسنان
MED007,كلافوكس 1 جم,Klavox 1g,"Amoxicillin, Clavulanic Acid","875mg, 125mg","Augmentin, Megamox, Curam",مضاد حيوي واسع المجال,السعودية ومصر,SPIMACO,علبة 14 قرص,80.0,غثيان وإسهال,الحذر مع مرضى القصور الكلوي أو حساسية البنسلين,مضاد للبكتيريا يعالج عدوى المسالك والهضمي
MED008,أنتينال,Antinal,Nifuroxazide,200mg,"Diax, Ercefuryl",مطهر معوي وأدوية الإسهال,مصر ودول عربية,Amoun,علبة 24 كبسولة,21.0,تفاعلات حساسية خفيفة في حالات نادرة,لا يعطى للأطفال إلا بأشكال دوائية معينة مثل الشراب,علاج الإسهال والنزلات المعوية الحادة
MED009,إرسيفوريل,Ercefuryl,Nifuroxazide,200mg,"Antinal, Diax",مطهر معوي وأدوية الإسهال,دولي والخليج,Sanofi,علبة 28 كبسولة,30.0,اضطرابات في المعدة,لا يستعمل بحال وجود دم في البراز ويجب الإكثار من السوائل,علاج حالات الإسهال الحاد والالتهابات المعوية
MED010,لازكس 40,Lasix 40,Furosemide,40mg,"Diuse",مدرات البول (أدوية الضغط/القلب),دولي,Sanofi,علبة 24 قرص,18.0,نقص البوتاسيوم في الدم وانخفاض ضغط الدم,ممنوع عند وجود فشل كلوي بدون إدرار والجفاف الحاد,يستخدم لتخفيف الوذمات ولعلاج ارتفاع ضغط الدم
MED011,فلاجيل 500,Flagyl 500,Metronidazole,500mg,"Amrizole, Dumozol",مضاد للطفيليات والبكتيريا اللاهوائية,دولي,Sanofi,علبة 20 قرص,45.0,طعم معدني بالفم واضطرابات معوية,تجنب تناول المشروبات الكحولية أثناء فترة العلاج,يعالج التهابات الجهاز الهضمي والمهبلي والأميبا
MED012,أوميز 20,Omez 20,Omeprazole,20mg,"Losec, Gasec, Risek",أدوية قرحة المعدة والحموضة,الشرق الأوسط,Cipla,علبة 14 كبسولة,28.0,صداع وألم بطن وإسهال,أخبر الطبيب إذا كان لديك مشاكل بالكبد ولا يكسر الكبسول,علاج لقرحة المعدة وعسر الهضم وارتجاع المريء
MED013,ليبيتور 40,Lipitor 40,Atorvastatin,40mg,"Ator, Lorvast, Lipomax",أدوية الكوليسترول والدهون,دولي,Pfizer,علبة 28 قرص,140.0,ألم بالعضلات واضطرابات وظائف الكبد,يجب الانتباه لوظائف الكبد وعدم الاستخدام أثناء الحمل,دواء لتقليل الكوليسترول السيء والدهون الثلاثية بالدم
MED014,جلوكوفاج 500,Glucophage 500,Metformin,500mg,"Cidophage, Formit",أدوية السكري (النوع الثاني),دولي,Merck,علبة 50 قرص,50.0,اضطراب الجهاز الهضمي وغثيان,حذر شديد في مرضى قصور الكلى لتجنب الحماض اللاكتيكي,ينظم السكر في الدم ويستخدم للتخسيس أحياناً
MED015,كونكور 5 بلس,Concor 5 Plus,"Bisoprolol, Hydrochlorothiazide","5mg, 12.5mg","Bisolol, Lodoz",أدوية ضغط الدم والقلب,دولي ومصر والخليج,Merck,علبة 30 قرص,65.0,برودة الأطراف وبطء ضربات القلب,لا يتم إيقاف الدواء فجأة للمرضى المصابين بأمراض القلب,علاج للضغط المرتفع يحمي عضلة القلب ويقلل الجهد
